acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
HN70,Fixed-wing,1P/S,Light,F,I,,1,P,S
HORN,Fixed-wing,1P/S,Light,F,I,,1,P,S
HORZ,Fixed-wing,1P/S,Light,F,I,,1,P,S
HPTR,@Fixed-wing,1P/S,Light,F,I,,1,P,S
HPZL,Fixed-wing,1P/S,Light,F,I,,1,P,S
HR10,Fixed-wing,1P/S,Light,F,I,,1,P,S
HR20,Fixed-wing,1P/S,Light,F,I,,1,P,S
HRNT,Fixed-wing,1P/S,Light,F,I,,1,P,S
HROC,Fixed-wing,1P/S,Light,F,I,,1,P,S
HRYA,Fixed-wing,1P/S,Light,F,I,,1,P,S
HSMT,Helicopter,1P/S,Light,F,I,,1,P,S
HT16*,Fixed-wing,1J/S,Light,F,III,,1,J,S
HT2,Fixed-wing,1P/S,Light,F,I,,1,P,S
HT32,Fixed-wing,1P/S,Light,F,I,,1,P,S
HT34,Fixed-wing,1T/S,Light,F,I,,1,T,S
HT36*,Fixed-wing,1J/S,Light,F,III,,1,J,S
HU1,Fixed-wing,1P/S,Light,F,I,,1,P,S
HU2,Fixed-wing,1P/S,Light,F,I,,1,P,S
HUCO,Helicopter,1T/S,Light,F,I,,1,T,S
HUML,Fixed-wing,1P/S,Light,F,I,,1,P,S
HUMM,Fixed-wing,1P/S,Light,F,I,,1,P,S
HUNT*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
HURI,Fixed-wing,1P/S,Light,F,I,,1,P,S
HUSK,Fixed-wing,1P/S,Light,F,I,,1,P,S
HW4P,Gyrocopter,1P/S,Light,F,I,,1,P,S
HW4T,Gyrocopter,1T/S,Light,F,I,,1,T,S
HX2,Helicopter,1T/S,Light,F,I,,1,T,S
I103,Fixed-wing,1P/S,Light,F,I,,1,P,S
I114,Fixed-wing,2T/L,Medium,D,III,,2,T,L
I115,Fixed-wing,1P/S,Light,F,I,,1,P,S
I11B,Fixed-wing,1P/S,Light,F,I,,1,P,S
I153,Fixed-wing,1P/S,Light,F,I,,1,P,S
I15B,Fixed-wing,1P/S,Light,F,I,,1,P,S
I16,Fixed-wing,1P/S,Light,F,I,,1,P,S
I22*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
I23,Fixed-wing,1P/S,Light,F,I,,1,P,S
I3,Fixed-wing,1P/S,Light,F,I,,1,P,S
I66,Fixed-wing,1P/S,Light,F,I,,1,P,S
I828,Fixed-wing,1T/S,Light,F,I,,1,T,S
IA46,Fixed-wing,1P/S,Light,F,I,,1,P,S
IA50,Fixed-wing,2T/S+,Medium,F,III,,2,T,S+
IA51,Fixed-wing,1P/S,Light,F,I,,1,P,S
IA58,Fixed-wing,2T/S+,Light,F,III,,2,T,S+
IA63*,Fixed-wing,1J/S,Light,F,III,,1,J,S
IFUR,Fixed-wing,1P/S,Light,F,I,,1,P,S
IL14,Fixed-wing,2P/S+,Medium,F,III,,2,P,S+
IL18,Fixed-wing,4T/L,Medium,D,III,,4,T,L
IL28,Fixed-wing,2J/L,Medium,E,III,,2,J,L
IL38,Fixed-wing,4T/L,Medium,D,III,,4,T,L
IL62,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
IL76,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
IL86,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
IL96,Fixed-wing,4J/H,Heavy,B,III,,4,J,H
IMPU,Fixed-wing,1P/S,Light,F,I,,1,P,S
INCQ,Fixed-wing,1P/S,Light,F,I,,1,P,S
INEC,Fixed-wing,1P/S,Light,F,I,,1,P,S
INEX,Fixed-wing,1P/S,Light,F,I,,1,P,S
ION,Fixed-wing,1P/S,Light,F,I,,1,P,S
IP06,Fixed-wing,1P/S,Light,F,I,,1,P,S
IP10,Fixed-wing,1P/S,Light,F,I,,1,P,S
IP26,Fixed-wing,1P/S,Light,F,I,,1,P,S
IP6A,Fixed-wing,1P/S,Light,F,I,,1,P,S
IPAN,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR21,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR22,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR23,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR24,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR25,Fixed-wing,1T/S,Light,F,I,,1,T,S
IR27,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR28,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR31,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR46,Fixed-wing,1P/S,Light,F,I,,1,P,S
IR99*,Fixed-wing,1J/S,Light,F,III,,1,J,S
IS2,Helicopter,1P/S,Light,F,I,,1,P,S
IS28,Fixed-wing,1P/S,Light,F,I,,1,P,S
ISAT,Fixed-wing,1P/S,Light,F,I,,1,P,S
ISPT,Fixed-wing,1P/S,Light,F,I,,1,P,S
J1,Fixed-wing,1P/S,Light,F,I,,1,P,S
J10*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
J177,Fixed-wing,1P/S,Light,F,I,,1,P,S
J2,Fixed-wing,1P/S,Light,F,I,1,1,P,S
J3,Fixed-wing,1P/S,Light,F,I,1,1,P,S
J300,Fixed-wing,1P/S,Light,F,I,,1,P,S
J328,Fixed-wing,2J/S+,Medium,F,III,6,2,J,S+
J4,Fixed-wing,1P/S,Light,F,I,1,1,P,S
J4B2,Gyrocopter,1P/S,Light,F,I,,1,P,S
J5,Fixed-wing,1P/S,Light,F,I,1,1,P,S
J728,Fixed-wing,2J/L,Medium,E,III,,2,J,L
J8A*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
J8B*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
JAB2,Fixed-wing,1P/S,Light,F,I,,1,P,S
JAB4,Fixed-wing,1P/S,Light,F,I,,1,P,S
JABI,Fixed-wing,1P/S,Light,F,I,,1,P,S
JACE,Fixed-wing,1P/S,Light,F,I,,1,P,S
JAG2,Helicopter,1T/S,Light,F,I,,1,T,S
JAGR*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
JAJ5,Fixed-wing,1P/S,Light,F,I,,1,P,S
JAJ6,Fixed-wing,1P/S,Light,F,I,,1,P,S
JANU,Fixed-wing,1P/S,Light,F,I,,1,P,S
JARO,Fixed-wing,1P/S,Light,F,I,,1,P,S
JAST*,Fixed-wing,1J/S,Light,F,III,,1,J,S
JB1,@Fixed-wing,1P/S,Light,F,I,,1,P,S
JB15,Fixed-wing,1P/S,Light,F,I,,1,P,S
JC01,Fixed-wing,1P/S,Light,F,I,,1,P,S
JC02,Fixed-wing,1P/S,Light,F,I,,1,P,S
JCOM,Fixed-wing,2J/S+,Medium,F,III,9,2,J,S+
JCRU,Fixed-wing,1T/S,Light,F,I,,1,T,S
JD2,Fixed-wing,1P/S,Light,F,I,,1,P,S
JDOE,Fixed-wing,1P/S,Light,F,I,,1,P,S
JE2,Gyrocopter,1P/S,Light,F,I,,1,P,S
JFOX,Fixed-wing,1P/S,Light,F,I,,1,P,S
JH7*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
JK05,Fixed-wing,1P/S,Light,F,I,,1,P,S
JL9*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
JN76,Fixed-wing,1P/S,Light,F,I,,1,P,S
JPM1,Fixed-wing,1P/S,Light,F,I,,1,P,S
JPRO*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
JRC1,Fixed-wing,1P/S,Light,F,I,,1,P,S
JS1,Fixed-wing,2T/S+,Light,F,III,,2,T,S+
JS20,Fixed-wing,2T/S+,Light,F,II,,2,T,S+
JS3,Fixed-wing,2T/S+,Light,F,III,,2,T,S+
JS31,Fixed-wing,2T/S+,Light/Medium,F,III,5,2,T,S+
JS32,Fixed-wing,2T/S+,Medium,F,III,5,2,T,S+
JS41,Fixed-wing,2T/S+,Medium,F,III,7,2,T,S+
JSQA*,Fixed-wing,1J/S,Light,F,III,,1,J,S
JT2,Fixed-wing,1P/S,Light,F,I,,1,P,S
JU52,Fixed-wing,3P/S+,Medium,F,III,,3,P,S+
1-Jun,Fixed-wing,1P/S,Light,F,I,,1,P,S
2-Jun,Fixed-wing,1P/S,Light,F,I,,1,P,S
JUNR,Fixed-wing,1P/S,Light,F,I,,1,P,S
JUPI,Fixed-wing,1P/S,Light,F,I,,1,P,S
K126,Helicopter,1T/S,Light,F,I,,1,T,S
K209,Helicopter,1T/S,Light,F,I,,1,T,S
K226,Helicopter,2T/S,Light,F,I,,2,T,S
K250,Fixed-wing,1P/S,Light,F,I,,1,P,S
K35E,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
K35R,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
K50*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
K51,Fixed-wing,1P/S,Light,F,I,,1,P,S
K8*,Fixed-wing,1J/S,Light,F,III,,1,J,S
KA25,Helicopter,2T/S+,Medium,F,I,,2,T,S+
KA26,Helicopter,2P/S,Light,F,I,,2,P,S
KA27,Helicopter,2T/S+,Medium,F,I,,2,T,S+
KA50,Helicopter,2T/S+,Medium,F,I,,2,T,S+
KA52,Helicopter,2T/S+,Medium,F,I,,2,T,S+
KA62,Helicopter,2T/S+,Light,F,I,,2,T,S+
KAFI,Fixed-wing,1P/S,Light,F,I,,1,P,S
KAK1,Fixed-wing,1P/S,Light,F,I,,1,P,S
KAK3,Fixed-wing,1P/S,Light,F,I,,1,P,S
KAT3,Fixed-wing,1T/S,Light,F,I,,1,T,S
KATB,Fixed-wing,2P/S,Light,F,II,,2,P,S
KATR,Fixed-wing,1P/S,Light,F,I,,1,P,S
KC2,Fixed-wing,2J/L,Medium,D,III,,2,J,L
KE3,Fixed-wing,4J/H,Heavy,C,III,,4,J,H
KEHA,Fixed-wing,1P/S,Light,F,I,,1,P,S
KELA,Fixed-wing,1P/S,Light,F,I,,1,P,S
KELD,Fixed-wing,1P/S,Light,F,I,,1,P,S
KERO,Fixed-wing,1P/S,Light,F,I,,1,P,S
KEST,Fixed-wing,1T/S,Light,F,I,,1,T,S
KFIR*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
KFIS,@Fixed-wing,1P/S,Light,F,I,,1,P,S
KH4,Helicopter,1P/S,Light,F,I,,1,P,S
KIS2,Fixed-wing,1P/S,Light,F,I,,1,P,S
KIS4,Fixed-wing,1P/S,Light,F,I,,1,P,S
KITI,Fixed-wing,1P/S,Light,F,I,,1,P,S
KIWI,Fixed-wing,1P/S,Light,F,I,,1,P,S
KK60,Fixed-wing,1P/S,Light,F,I,,1,P,S
KL07,Fixed-wing,1P/S,Light,F,I,,1,P,S
KL25,Fixed-wing,1P/S,Light,F,I,,1,P,S
KL35,Fixed-wing,1P/S,Light,F,I,,1,P,S
KLBR,Fixed-wing,1P/S,Light,F,I,,1,P,S
KM2,Fixed-wing,1P/S,Light,F,I,,1,P,S
KMAX,Helicopter,1T/S,Light,F,I,,1,T,S
KNTW,Fixed-wing,1P/S,Light,F,I,,1,P,S
KODI,Fixed-wing,1T/S,Light,F,I,,1,T,S
KOLL,Fixed-wing,1P/S,Light,F,I,,1,P,S
KP2,Fixed-wing,1P/S,Light,F,I,,1,P,S
KP5,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR1,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR2,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR21,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR30,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR31,Fixed-wing,1P/S,Light,F,I,,1,P,S
KR34,Fixed-wing,1P/S,Light,F,I,,1,P,S
KRAG,Fixed-wing,1P/S,Light,F,I,,1,P,S
KRAH,Fixed-wing,1P/S,Light,F,I,,1,P,S
KRIC,Fixed-wing,1P/S,Light,F,I,,1,P,S
KSTK,Fixed-wing,2P/S,Light,F,II,,2,P,S
KT1,Fixed-wing,1T/S,Light,F,I,,1,T,S
KTOO,Fixed-wing,1P/S,Light,F,I,,1,P,S
KZ2,Fixed-wing,1P/S,Light,F,I,,1,P,S
KZ3,Fixed-wing,1P/S,Light,F,I,,1,P,S
KZ4,Fixed-wing,2P/S,Light,F,II,,2,P,S
KZ7,Fixed-wing,1P/S,Light,F,I,,1,P,S
KZ8,Fixed-wing,1P/S,Light,F,I,,1,P,S
L10,Fixed-wing,2P/S,Light,F,II,,2,P,S
L101,Fixed-wing,3J/H,Heavy,C,III,9,3,J,H
L11,Fixed-wing,1P/S,Light,F,I,,1,P,S
L11E,Fixed-wing,1P/S,Light,F,I,,1,P,S
L12,Fixed-wing,2P/S,Light,F,II,,2,P,S
L13,Fixed-wing,1P/S,Light,F,I,,1,P,S
L13M,Fixed-wing,1P/S,Light,F,I,,1,P,S
L13S,Fixed-wing,1P/S,Light,F,I,,1,P,S
L14,Fixed-wing,2P/S+,Medium,F,III,,2,P,S+
L15*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
L159*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
L18,Fixed-wing,2P/L,Medium,E,III,8,2,P,L
L181,Fixed-wing,1P/S,Light,F,I,,1,P,S
L188,Fixed-wing,4T/L,Medium,D,III,7,4,T,L
L200,Fixed-wing,2P/S,Light,F,II,,2,P,S
L29*,Fixed-wing,1J/S,Light,F,III,,1,J,S
L29A,Fixed-wing,4J/L,Medium,E,III,8,4,J,L
L29B,Fixed-wing,4J/L,Medium,E,III,9,4,J,L
L37,Fixed-wing,2P/S+,Medium,F,III,,2,P,S+
L380,Fixed-wing,1P/S,Light,F,I,,1,P,S
L39*,Fixed-wing,1J/S,Light,F,III,,1,J,S
L4,@Fixed-wing,2P/S,Light,F,II,,2,P,S
L40,Fixed-wing,1P/S,Light,F,I,,1,P,S
L410,Fixed-wing,2T/S+,Light,F,III,,2,T,S+
L5,Fixed-wing,1P/S,Light,F,I,,1,P,S
L59*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
L6,@Fixed-wing,2P/S,Light,F,II,,2,P,S
L60,Fixed-wing,1P/S,Light,F,I,,1,P,S
L610,Fixed-wing,2T/S+,Medium,F,III,,2,T,S+
L70,Fixed-wing,1P/S,Light,F,I,,1,P,S
L8,Fixed-wing,1P/S,Light,F,I,3,1,P,S
L90,Fixed-wing,1T/S,Light,F,I,,1,T,S
LA25,@Fixed-wing,1P/S,Light,F,I,2,1,P,S
LA4,@Fixed-wing,1P/S,Light,F,I,2,1,P,S
LA60,Fixed-wing,1P/S,Light,F,I,,1,P,S
LA6T,Fixed-wing,1T/S,Light,F,I,,1,T,S
LA8,@Fixed-wing,2P/S,Light,F,II,,2,P,S
LACO,Fixed-wing,1P/S,Light,F,I,,1,P,S
LAE1,Fixed-wing,1E/S,Light,F,I,,1,E,S
LAKR,Fixed-wing,1P/S,Light,F,I,,1,P,S
LAKX,Fixed-wing,1P/S,Light,F,I,,1,P,S
LAMA,Helicopter,1T/S,Light,F,I,,1,T,S
LANC,Fixed-wing,4P/L,Medium,D,III,,4,P,L
LARK,Fixed-wing,1P/S,Light,F,I,1,1,P,S
LAST,Fixed-wing,1P/S,Light,F,I,,1,P,S
LBUG,Fixed-wing,1P/S,Light,F,I,,1,P,S
LCA*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
LCB,Fixed-wing,1P/S,Light,F,I,,1,P,S
LCR,Fixed-wing,1P/S,Light,F,I,,1,P,S
LEG2,Fixed-wing,1P/S,Light,F,I,,1,P,S
LEGD,Fixed-wing,1P/S,Light,F,I,,1,P,S
LEOP,Fixed-wing,2J/S,Light,F,III,,2,J,S
LEVI,Fixed-wing,1P/S,Light,F,I,,1,P,S
LGEZ,Fixed-wing,1P/S,Light,F,I,,1,P,S
LH10,Fixed-wing,1P/S,Light,F,I,,1,P,S
LIBE,Fixed-wing,1P/S,Light,F,I,,1,P,S
LION,Fixed-wing,1P/S,Light,F,I,,1,P,S
LJ23,Fixed-wing,2J/S,Light,F,III,8,2,J,S
LJ24,Fixed-wing,2J/S+,Light,F,III,7,2,J,S+
LJ25,Fixed-wing,2J/S+,Light,F,III,9,2,J,S+
LJ28,Fixed-wing,2J/S+,Light,F,III,7,2,J,S+
LJ31,Fixed-wing,2J/S+,Medium,F,III,7,2,J,S+
LJ35,Fixed-wing,2J/S+,Medium,F,III,9,2,J,S+
LJ40,Fixed-wing,2J/S+,Medium,F,III,6,2,J,S+
LJ45,Fixed-wing,2J/S+,Medium,F,III,6,2,J,S+
LJ55,Fixed-wing,2J/S+,Medium,F,III,8,2,J,S+
LJ60,Fixed-wing,2J/S+,Medium,F,III,10,2,J,S+
LJ70,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
LJ75,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
LJ85,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
LK17,Fixed-wing,1P/S,Light,F,I,,1,P,S
LK19,Fixed-wing,1P/S,Light,F,I,,1,P,S
LK20,Fixed-wing,1P/S,Light,F,I,,1,P,S
LM5,Fixed-wing,1P/S,Light,F,I,,1,P,S
LM5X,Fixed-wing,1P/S,Light,F,I,,1,P,S
LM7,Fixed-wing,1P/S,Light,F,I,,1,P,S
LMK1,Fixed-wing,1P/S,Light,F,I,,1,P,S
LN27,Fixed-wing,1P/S,Light,F,I,,1,P,S
LN3,@Fixed-wing,1P/S,Light,F,I,,1,P,S
LNC2,Fixed-wing,1P/S,Light,F,I,,1,P,S
LNC4,Fixed-wing,1P/S,Light,F,I,,1,P,S
LNCE,Fixed-wing,1P/S,Light,F,I,,1,P,S
LNP4,Fixed-wing,1T/S,Light,F,I,,1,T,S
LNT4,Fixed-wing,1T/S,Light,F,I,,1,T,S
LOCA,Fixed-wing,1P/S,Light,F,I,,1,P,S
LOVE,Fixed-wing,1P/S,Light,F,I,,1,P,S
LP1,Fixed-wing,1P/S,Light,F,I,,1,P,S
LR2T,Helicopter,1T/S,Light,F,I,,1,T,S
LS10,Fixed-wing,1P/S,Light,F,I,,1,P,S
LS2,Fixed-wing,1P/S,Light,F,I,,1,P,S
LS8,Fixed-wing,1P/S,Light,F,I,,1,P,S
LS9,Fixed-wing,1P/S,Light,F,I,,1,P,S
LSTR,Fixed-wing,1P/S,Light,F,I,,1,P,S
LTNG*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
LUL5,Fixed-wing,1P/S,Light,F,I,,1,P,S
LUL6,Fixed-wing,1P/S,Light,F,I,,1,P,S
LUL7,Fixed-wing,1P/S,Light,F,I,,1,P,S
LUL8,Fixed-wing,1P/S,Light,F,I,,1,P,S
LV51,Fixed-wing,1P/S,Light,F,I,,1,P,S
LW20,Fixed-wing,1P/S,Light,F,I,,1,P,S
LW40,Fixed-wing,1P/S,Light,F,I,,1,P,S
LWIN,Fixed-wing,1P/S,Light,F,I,,1,P,S
LX32,Fixed-wing,1P/S,Light,F,I,,1,P,S
LX34,Fixed-wing,1P/S,Light,F,I,,1,P,S
LYNX,Helicopter,2T/S+,Light,F,I,,2,T,S+
LYSA,Fixed-wing,1P/S,Light,F,I,,1,P,S
M10,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M101,Fixed-wing,1T/S,Light,F,I,,1,T,S
M106,Fixed-wing,1P/S,Light,F,I,,1,P,S
M108,Fixed-wing,1P/S,Light,F,I,,1,P,S
M110,Fixed-wing,1P/S,Light,F,I,,1,P,S
M15,Fixed-wing,1J/S,Light,F,III,,1,J,S
M17*,Fixed-wing,1J/L,Medium,D,III,,1,J,L
M18,Fixed-wing,1P/S,Light,F,I,,1,P,S
M18T,Fixed-wing,1T/S,Light,F,I,,1,T,S
M1SC,Fixed-wing,1P/S,Light,F,I,,1,P,S
M2,Fixed-wing,1P/S,Light,F,I,,1,P,S
M200,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M203,Fixed-wing,1P/S,Light,F,I,,1,P,S
M20P,Fixed-wing,1P/S,Light,F,I,4,1,P,S
M20T,Fixed-wing,1P/S,Light,F,I,6,1,P,S
M21,Fixed-wing,1P/S,Light,F,I,,1,P,S
M212,Fixed-wing,1P/S,Light,F,I,,1,P,S
M22,Fixed-wing,1P/S,Light,F,I,3,1,P,S
M24,Fixed-wing,1P/S,Light,F,I,,1,P,S
M26,Fixed-wing,1P/S,Light,F,I,,1,P,S
M28,Fixed-wing,2T/S+,Light/Medium,F,III,,2,T,S+
M2HK,Fixed-wing,1P/S,Light,F,I,,1,P,S
M308,Fixed-wing,1P/S,Light,F,I,,1,P,S
M326*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
M339*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
M346*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
M360,Fixed-wing,1P/S,Light,F,I,,1,P,S
M4,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M404,Fixed-wing,2P/L,Medium,D,III,3,2,P,L
M5,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M55*,Fixed-wing,2J/L,Medium,D,III,,2,J,L
M6,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M7,Fixed-wing,1P/S,Light,F,I,1,1,P,S
M74,Helicopter,1P/S,Light,F,I,,1,P,S
M7T,Fixed-wing,1T/S,Light,F,I,1,1,T,S
M8,Fixed-wing,1P/S,Light,F,I,,1,P,S
M9,Fixed-wing,1P/S,Light,F,I,,1,P,S
MA1,Fixed-wing,1P/S,Light,F,I,,1,P,S
MA5,Fixed-wing,1P/S,Light,F,I,,1,P,S
MA60,Fixed-wing,2T/L,Medium,D,III,,2,T,L
MA6H,Fixed-wing,2T/L,Medium,D,III,,2,T,L
MAGC,Fixed-wing,1P/S,Light,F,I,,1,P,S
MAGI,Fixed-wing,1P/S,Light,F,I,,1,P,S
MAGN,Fixed-wing,1P/S,Light,F,I,,1,P,S
MAJR,Fixed-wing,1P/S,Light,F,I,,1,P,S
MAMB,Fixed-wing,1P/S,Light,F,I,,1,P,S
MAME,Fixed-wing,1P/S,Light,F,I,,1,P,S
MARS,$Fixed-wing,4P/L,Medium,D,III,,4,P,L
MAVR,Fixed-wing,1P/S,Light,F,I,,1,P,S
MC10,Fixed-wing,2P/S,Light,F,II,,2,P,S
MC45,Fixed-wing,1P/S,Light,F,I,,1,P,S
MC90,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCOU,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCOY,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCR1,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCR4,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCRR,Fixed-wing,1P/S,Light,F,I,,1,P,S
MCUL,Fixed-wing,1P/S,Light,F,I,,1,P,S
MD11,Fixed-wing,3J/H,Heavy,C,III,9,3,J,H
MD3,Fixed-wing,1P/S,Light,F,I,,1,P,S
MG15*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
MG17*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
MG19*,Fixed-wing,2J/S+,Medium,F,III,,2,J,S+
MG21*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
MG23*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
MG25*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
MG29*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
MG31*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
MG44*,Fixed-wing,2J/L,Medium,E,III,,2,J,L
MGAT*,Fixed-wing,1J/S+,Light,F,III,,1,J,S+
MGIC,Fixed-wing,1P/S,Light,F,I,,1,P,S
MGNM,Fixed-wing,1P/S,Light,F,I,,1,P,S
MH02,Fixed-wing,2J/S,Light,F,III,,2,J,S
MH20,Helicopter,2T/S,Light,F,I,,2,T,S
MH46,Fixed-wing,1P/S,Light,F,I,,1,P,S
MI10,Helicopter,2T/L,Medium,D,I,,2,T,L
MI14,Helicopter,2T/S+,Medium,F,I,,2,T,S+
MI2,Helicopter,2T/S,Light,F,I,,2,T,S
MI24,Helicopter,2T/S+,Medium,F,I,,2,T,S+
MI26,Helicopter,2T/L,Medium,D,I,,2,T,L
MI28,Helicopter,2T/S+,Medium,F,I,,2,T,S+
MI34,Helicopter,1P/S,Light,F,I,,1,P,S
MI38,Helicopter,2T/S+,Medium,F,I,,2,T,S+
MI4,Helicopter,1P/S+,Light,F,I,,1,P,S+
MI6,Helicopter,2T/L,Medium,D,I,,2,T,L
MI8,Helicopter,2T/S+,Medium,F,I,,2,T,S+
MICO*,Fixed-wing,2J/S,Light,F,III,,2,J,S
MIDR,Fixed-wing,1P/S,Light,F,I,,1,P,S
MIMP,Fixed-wing,1P/S,Light,F,I,,1,P,S
MIMU,Fixed-wing,1P/S,Light,F,I,,1,P,S
MIR2*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
MIRA*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
MITE,Fixed-wing,1P/S,Light,F,I,1,1,P,S
MJ10,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ12,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ1H,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ2,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ3,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ4,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ5,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ53,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ55,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ7,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ77,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ8,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ80,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ9,Fixed-wing,1P/S,Light,F,I,,1,P,S
MJ90,Fixed-wing,1P/S,Light,F,I,,1,P,S
MLER,Fixed-wing,1P/S,Light,F,I,,1,P,S
MM14,Gyrocopter,1P/S,Light,F,I,,1,P,S
MM16,Gyrocopter,1P/S,Light,F,I,,1,P,S
MM19,Gyrocopter,1P/S,Light,F,I,,1,P,S
MM21,Gyrocopter,1P/S,Light,F,I,,1,P,S
MM22,Gyrocopter,1P/S,Light,F,I,,1,P,S
MM24,Gyrocopter,1P/S,Light,F,I,,1,P,S
MMAC,Fixed-wing,1P/S,Light,F,I,,1,P,S
MMAX,Gyrocopter,1P/S,Light,F,I,,1,P,S
MMUT,Fixed-wing,1P/S,Light,F,I,,1,P,S
MNEX,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOCU,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOGO,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOL1,Fixed-wing,1P/S,Light,F,I,,1,P,S
MONA,Fixed-wing,1P/S,Light,F,I,,1,P,S
MONI,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOR2,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOSP,Fixed-wing,1P/S,Light,F,I,,1,P,S
MOSQ,Fixed-wing,2P/S+,Medium,F,III,,2,P,S+
MOTO,Fixed-wing,1P/S,Light,F,I,,1,P,S
MP02,Fixed-wing,1P/S,Light,F,I,,1,P,S
MP20,Fixed-wing,1P/S,Light,F,I,,1,P,S
MR25,Fixed-wing,1P/S,Light,F,I,,1,P,S
MR35,Fixed-wing,1P/S,Light,F,I,,1,P,S
MR3T,Fixed-wing,1T/S,Light,F,I,,1,T,S
MRAI,Fixed-wing,1P/S,Light,F,I,,1,P,S
MRAM,Fixed-wing,1P/S,Light,F,I,,1,P,S
MRF1*,Fixed-wing,1J/S+,Medium,F,III,,1,J,S+
MRJ7,Fixed-wing,2J/L,Medium,D,III,,2,J,L
