acType,acClass,EngNumb-FAAWeightClass,ICAO WTC,RECAT 1.5 Wake Category,SRS,LAHSO,NumbEngines,EngType,WTClass
AP36,Fixed-wing,2P/S,Light,F,II,,2,P,S
APM2,Fixed-wing,1P/S,Light,F,I,,1,P,S
APM3,Fixed-wing,1P/S,Light,F,I,,1,P,S
APM4,Fixed-wing,1P/S,Light,F,I,,1,P,S
APUP,Fixed-wing,1P/S,Light,F,I,,1,P,S
AR11,Fixed-wing,1P/S,Light,F,I,1,1,P,S
AR15,Fixed-wing,1P/S,Light,F,I,2,1,P,S
AR50,Fixed-wing,1P/S,Light,F,I,,1,P,S
AR5T,Fixed-wing,1P/S,Light,F,I,,1,P,S
AR65,Fixed-wing,1P/S,Light,F,I,,1,P,S
AR6T,Fixed-wing,1P/S,Light,F,I,,1,P,S
AR79,Fixed-wing,1P/S,Light,F,I,,1,P,S
ARCE,Fixed-wing,1E/S,Light,F,I,,1,E,S
ARCP,Fixed-wing,1P/S,Light,F,I,,1,P,S
ARES*,Fixed-wing,1J/S,Light,F,III,,1,J,S
ARKS,Fixed-wing,1P/S,Light,F,I,,1,P,S
ARON,Fixed-wing,1P/S,Light,F,I,,1,P,S
ARV1,Fixed-wing,1P/S,Light,F,I,,1,P,S
ARVA,Fixed-wing,2T/S+,Light,F,III,5,2,T,S+
ARWF,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS02,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS14,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS16,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS20,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS21,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS22,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS24,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS25,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS26,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS28,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS29,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS2T,Fixed-wing,1T/S,Light,F,I,,1,T,S
AS30,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS31,Fixed-wing,1P/S,Light,F,I,,1,P,S
AS32,Helicopter,2T/S+,Medium,F,I,,2,T,S+
AS3B,Helicopter,2T/S+,Medium,F,I,,2,T,S+
